Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,College and Career Anchor Standards,KG-12,2023-11-19T00:00:00+00:00
Strand,1.1,,Reading,KG-12,2023-11-19T00:00:00+00:00
Cluster,1.1.1,,Key Ideas and Details,KG-12,2023-11-19T00:00:00+00:00
Standard,1.1.1.1,CCRA.R.1,Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.,KG-12,2023-11-19T00:00:00+00:00
Standard,1.1.1.2,CCRA.R.2,Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.,KG-12,2023-11-19T00:00:00+00:00
Standard,1.1.1.3,CCRA.R.3,"Analyze how and why individuals, events, and ideas develop and interact over the course of a text.",KG-12,2023-11-19T00:00:00+00:00
Cluster,1.1.2,,Craft and Structure,KG-12,2023-11-19T00:00:00+00:00
Standard,1.1.2.1,CCRA.R.4,"Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone.",KG-12,2023-11-19T00:00:00+00:00
Standard,1.1.2.2,CCRA.R.5,"Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole.",KG-12,2023-11-19T00:00:00+00:00
Standard,1.1.2.3,CCRA.R.6,Assess how point of view or purpose shapes the content and style of a text.,KG-12,2023-11-19T00:00:00+00:00
Cluster,1.1.3,,Integration of Knowledge and Ideas,KG-12,2023-11-19T00:00:00+00:00
Standard,1.1.3.1,CCRA.R.7,"Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.",KG-12,2023-11-19T00:00:00+00:00
Standard,1.1.3.2,CCRA.R.8,"Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence.",KG-12,2023-11-19T00:00:00+00:00
Standard,1.1.3.3,CCRA.R.9,Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.,KG-12,2023-11-19T00:00:00+00:00
Cluster,1.1.4,,Range of Reading and Level of Text Complexity,KG-12,2023-11-19T00:00:00+00:00
Standard,1.1.4.1,CCRA.R.10,Read and comprehend complex literary and informational texts independently and proficiently.,KG-12,2023-11-19T00:00:00+00:00
Strand,1.2,,Writing,KG-12,2023-11-19T00:00:00+00:00
Cluster,1.2.1,,Text Types and Purposes,KG-12,2023-11-19T00:00:00+00:00
Standard,1.2.1.1,CCRA.W.1,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",KG-12,2023-11-19T00:00:00+00:00
Standard,1.2.1.2,CCRA.W.2,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",KG-12,2023-11-19T00:00:00+00:00
Standard,1.2.1.3,CCRA.W.3,"Write narratives to develop real or imagined experiences or events using effective technique, well-chosen details, and well-structured event sequences.",KG-12,2023-11-19T00:00:00+00:00
Cluster,1.2.2,,Production and Distribution of Writing,KG-12,2023-11-19T00:00:00+00:00
Standard,1.2.2.1,CCRA.W.4,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",KG-12,2023-11-19T00:00:00+00:00
Standard,1.2.2.2,CCRA.W.5,"Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach.",KG-12,2023-11-19T00:00:00+00:00
Standard,1.2.2.3,CCRA.W.6,"Use technology, including the Internet, to produce and publish writing and to interact and collaborate with others.",KG-12,2023-11-19T00:00:00+00:00
Cluster,1.2.3,,Research to Build and Present Knowledge,KG-12,2023-11-19T00:00:00+00:00
Standard,1.2.3.1,CCRA.W.7,"Conduct short as well as more sustained research projects based on focused questions, demonstrating understanding of the subject under investigation.",KG-12,2023-11-19T00:00:00+00:00
Standard,1.2.3.2,CCRA.W.8,"Gather relevant information from multiple print and digital sources, assess the credibility and accuracy of each source, and integrate the information while avoiding plagiarism.",KG-12,2023-11-19T00:00:00+00:00
Standard,1.2.3.3,CCRA.W.9,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",KG-12,2023-11-19T00:00:00+00:00
Cluster,1.2.4,,Range of Writing,KG-12,2023-11-19T00:00:00+00:00
Standard,1.2.4.1,CCRA.W.10,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of tasks, purposes, and audiences.",KG-12,2023-11-19T00:00:00+00:00
Strand,1.3,,Speaking and Listening,KG-12,2023-11-19T00:00:00+00:00
Cluster,1.3.1,,Comprehension and Collaboration,KG-12,2023-11-19T00:00:00+00:00
Standard,1.3.1.1,CCRA.SL.1,"Prepare for and participate effectively in a range of conversations and collaborations with diverse partners, building on others' ideas and expressing their own clearly and persuasively.",KG-12,2023-11-19T00:00:00+00:00
Standard,1.3.1.2,CCRA.SL.2,"Integrate and evaluate information presented in diverse media and formats, including visually, quantitatively, and orally.",KG-12,2023-11-19T00:00:00+00:00
Standard,1.3.1.3,CCRA.SL.3,"Evaluate a speaker's point of view, reasoning, and use of evidence and rhetoric.",KG-12,2023-11-19T00:00:00+00:00
Cluster,1.3.2,,Presentation of Knowledge and Ideas,KG-12,2023-11-19T00:00:00+00:00
Standard,1.3.2.1,CCRA.SL.4,"Present information, findings, and supporting evidence such that listeners can follow the line of reasoning and the organization, development, and style are appropriate to task, purpose, and audience.",KG-12,2023-11-19T00:00:00+00:00
